Kuukausi,Autoja,Markkina-osuus (%),1-0X/202X,Markkina-osuus (%),1-0X/202X,Markkina-osuus (%),Kumulatiivinen muutos (%)
01/2019,16,"0,10",17,"0,10","−5,9",,
02/2019,40,"0,50",56,"0,30",21,"0,10","166,70"
03/2019,153,"1,70",209,"0,70",57,"0,20","266,70"
04/2019,97,"1,00",306,"0,80",65,"0,10","370,80"
05/2019,42,"0,40",348,"0,70",77,"0,10","351,90"
06/2019,171,"1,70",519,"0,90",100,"0,10","419,00"
07/2019,68,"0,80",587,"0,90",112,"0,10","424,10"
08/2019,53,"0,50",640,"0,80",116,"0,10","451,70"
09/2019,156,"1,90",796,"0,90",132,"0,10","503,00"
10/2019,7,"0,10",803,"0,80",136,"0,10","490,40"
11/2019,14,"0,20",817,"0,80",148,"0,10","452,00"
12/2019,107,"1,30",924,"0,80",172,"0,10","437,20"
01/2020,27,"0,30",16,"0,10","68,8",,
02/2020,6,"0,10",33,"0,20",56,"0,30","−41,10"
03/2020,303,"3,40",336,"1,20",209,"0,70","60,80"
04/2020,43,"0,70",379,"1,10",306,"0,80","23,90"
05/2020,26,"0,50",405,"1,10",348,"0,70","16,40"
06/2020,57,"0,70",462,"1,00",519,"0,90","−11,00"
07/2020,1,"0,00",463,"0,80",587,"0,90","−21,10"
08/2020,32,"0,40",495,"0,80",640,"0,80","−22,70"
09/2020,244,"2,90",739,"1,00",796,"0,90","−7,20"
10/2020,21,"0,30",760,"1,00",803,"0,80","−5,40"
11/2020,12,"0,20",772,"0,90",817,"0,80","−5,50"
12/2020,220,"2,70",992,"1,10",924,"0,80","7,40"
01/2021,7,"0,10",27,"0,30","−74,1",,
02/2021,58,"0,70",65,"0,40",33,"0,20","97,00"
03/2021,298,"2,90",363,"1,30",336,"1,20","8,00"
04/2021,7,"0,10",370,"1,00",379,"1,10","−2,40"
05/2021,19,"0,20",389,"0,90",405,"1,10","−4,00"
06/2021,277,"2,9",666,"1,2",462,"1,0","44,2"
07/2021,1,"0,0",667,"1,1",463,"0,8","44,1"
08/2021,17,"0,2",684,"1,0",495,"0,8","38,2"
09/2021,405,"6,3",1089,"1,4",739,"1,0","47,4"
10/2021,3,"0,0",1092,"1,3",760,"1,0","43,7"
11/2021,48,"0,7",1140,"1,3",772,"0,9","47,7"
12/2021,376,"5,80",1516,"1,60",992,"1,10","52,80"
01/2022,2,"0,00",,,,,
02/2022,35,"0,56",37,"0,26",65,"0,38","−43,08"
03/2022,420,"5,67",457,"2,14",363,"1,32","25,90"
04/2022,12,"0,19",469,"1,69",370,"1,03","26,76"
05/2022,11,"0,14",480,"1,36",389,"0,85","23,39"
06/2022,155,"2,16",635,"1,49",666,"1,21","−4,65"
07/2022,28,"0,52",663,"1,38",667,"1,07","−0,60"
08/2022,67,"0,96",730,"1,33",684,"0,98","6,73"
09/2022,218,"3,25",948,"1,54",1089,"1,43","−12,95"
10/2022,5,"0,08",953,"1,41",1092,"1,32","−12,73"
11/2022,190,"3,00",1143,"1,54",1140,"1,28","0,26"
12/2022,546,"8,89",1689,"2,10",1516,"1,58","11,41"
01/2023,49,"0,69",2,"0,03",,,"2 350,00"
02/2023,382,"6,32",431,"3,28",37,"0,26","1 064,86"
03/2023,897,"11,85",1328,"6,42",457,"2,14","190,59"
04/2023,226,"3,14",1554,"5,57",469,"1,69","231,34"
05/2023,532,"5,75",2086,"5,61",480,"1,36","334,58"
06/2023,899,"10,0",2985,"6,5",635,"1,5","370,1"
07/2023,120,"1,9",3106,"5,9",663,"1,4","368,5"
08/2023,573,"7,5",3679,"6,1",730,"1,3","404,0"
09/2023,1202,"16,3",4881,"7,2",948,"1,5","414,9"
10/2023,149,"2,4",5030,"6,8",953,"1,4","427,8"
11/2023,432,"6,6",5462,"6,8",1 143,"1,5","377,9"
12/2023,677,"11,8",6139,"7,1",1 689,"2,1","263,5"
01/2024,169,"2,6",169,"2,6",49,"0,70","244,90"
02/2024,238,"4,5",407,"3,5",431,"3,3","−5,6"
03/2024,487,"7,6",894,"4,9",1 328,"6,4","−32,7"
04/2024,128,"2,1",1 022,"4,2",1 554,"5,6","−34,2"
05/2024,304,"4,0",1 326,"4,2",2 086,"5,6","−36,4"
06/2024,479,"7,30",1 805,"4,70",2 986,"6,50","−39,00"
07/2024,59,"1,20",1 864,"4,30",3 106,"5,90","−40,00"
08/2024,312,"4,90",2 176,"4,40",3 679,"6,10","−40,90"
09/2024,456,"10,00",2 632,"4,80",4 881,"7,20","−46,10"
10/2024,145,"2,5",2 777,"4,6",5 030,"6,8","-44,8"
11/2024,323
12/2024,617
01/2025,58
02/2025,122
03/2025,295
04/2025,71
05/2025,149
