fetchedAt,count
2026-05-05T18:22:57.145015Z,9577
2026-05-05T17:56:17.861647Z,9582
2026-05-05T17:29:00Z,9576
2026-05-05T17:17:00Z,9575
2026-05-05T16:54:10.949061Z,9572
2026-05-05T16:01:35.533504Z,9579
2026-05-05T14:57:02.473783Z,9608
2026-05-05T13:59:53.767528Z,9617
2026-05-05T13:49:43.673190Z,9612
2026-05-05T13:29:02.817269Z,9615
2026-04-19T07:20:00Z,9676
2026-04-12T13:42:00Z,9801
2026-04-10T18:16:00Z,9977
2026-04-09T19:04:00Z,10085
2026-04-07T12:35:00Z,10286
2026-03-31T18:15:00Z,10435
2026-03-31T13:00:00Z,10542
2026-03-30T07:16:00Z,10697
2026-03-26T18:16:00Z,10999
2026-03-03T10:00:00Z,11817
2022-03-09T09:13:00Z,2281
